gen,description,te_class_suzukii
arx,,DNA/MITE
cg6843,,DNA/MITE
csn1b,COP9 signalosome subunit,DNA/MITE
prp6,pre-mRNA processing factor,DNA/MITE
ir75d,Ionotropic receptor,LINE/CR1
cox6al2,Cytochrome c oxidase subunit 6A-like,LINE/CR1
cg6839,,DNA/RC
cg18223,,DNA/RC
cg3819,,DNA/RC
cg32204,,DNA/RC
cg6836,,DNA
cg18135,,LTR/COPIA
lncrna:cr45940,long non-coding,DNA/RC
lncrna:cr44675,long non-coding,DNA/MITE
cg43407,,DNA/MITE
ugt316a1,UDP-glycosyltransferase family 316 member,DNA/MITE
mkp3,Mitogen-activated protein kinase phosphatase,DNA/RC
lncrna:cr45386,long non-coding,LTR/Gypsy
mesr6,Misexpression suppressor of ras,LTR/Gypsy
cnpyb,Canopy,LTR/Gypsy
cg14079,,DNA
gem2,Gemin,DNA
lncrna:cr45941,long non-coding,DNA/P
lncrna:cr43893,long non-coding,DNA
lncrna:cr43892,long non-coding,DNA
lncrna:cr46216,long non-coding,DNA/RC
mrpl21,mitochondrial ribosomal protein,DNA/RC
rept,,DNA/P
nes,,DNA/RC
asrna:cr45210,antisense,DNA/RC
bet1,Blocked early in transport,LINE/I
max,,LTR/Gypsy
cg42374,dicistronic,LTR/Gypsy
mettl5,Methyltransferase like,LTR/Gypsy
aldh7a1,Aldehyde dehydrogenase 7 family member,LTR/Gypsy
cg14085,,LTR/Gypsy
cg14086,,LTR/Gypsy
cg14089,,LTR/COPIA
gbs-76a,Glycogen binding subunit,LTR/COPIA
asrna:cr46048,antisense,DNA
fal,,DNA
pip,,DNA
hprna:cr32205,hairpin,DNA
lncrna:cr45732,long non-coding,LTR/Gypsy
cg33062,,LTR/Gypsy
chd3,,LTR/Gypsy
lncrna:cr45434,long non-coding,DNA/RC
cg9452,,DNA/RC
cpr76ba,Cuticular protein,LTR/Gypsy
cpr76bb,Cuticular protein,LTR/Gypsy
cpr76bc,Cuticular protein,DNA/RC
cpr76bd,Cuticular protein,LINE/I
cg46434,dicistronic,LTR/Gypsy
dred,,LTR/Gypsy
rcd7,Reduction in Cnn dots,LTR/Gypsy
cg46435,dicistronic,LTR/Gypsy
taf6,TBP-associated factor,LTR
cg9368,,LTR
cg9372,,LTR
lon,Lon,LTR
pig-f,Phosphatidylinositol glycan anchor biosynthesis class,LTR
l(3)76bdm,lethal (3),LTR
oat,Ornithine aminotransferase,DNA/RC
tey,,DNA/RC
sak,Sak,DNA/PIFHARBINGER
cdk12,Cyclin-dependent kinase,DNA/PIFHARBINGER
cg7611,,LTR/Gypsy
arv1,ACAT-related protein required for viability,LTR/Gypsy
asrna:cr43877,antisense,LTR/Gypsy
mkrn1,Makorin,LTR/Gypsy
ppk5,pickpocket,LTR/Gypsy
rpn10,Regulatory particle non-ATPase,LTR/Gypsy
cox8,Cytochrome c oxidase subunit,LTR/Gypsy
crif,CR6-interacting,LTR/Gypsy
smc5,Structural maintenance of chromosomes,DNA/RC
mir-193,mir-193 stem,DNA/RC
emc10,ER membrane protein complex subunit,DNA/RC
lncrna:cr43940,long non-coding,DNA
tfap-2,Transcription factor,DNA
s1p,Site-1,DNA/RC
cg11307,,DNA/RC
cg7166,,DNA/RC
cpr78e,Cuticular protein,LTR/Gypsy
lncrna:cr43977,long non-coding,LTR/Gypsy
lncrna:cr45920,long non-coding,LTR/Gypsy
mir-316,mir-316 stem,LTR/Gypsy
cg11249,,LTR/Gypsy
eg,,LTR/COPIA
cg43895,,LTR/COPIA
cych,Cyclin,DNA
cg7407,,DNA
eif2a,eukaryotic translation initiation factor,DNA
cg32448,,LTR
cg7148,,LTR
nopp140,,LTR
p5cdh1,delta-1-Pyrroline-5-carboxylate dehydrogenase,LTR
cg14563,,LINE
trna:cys-gca-4-1,,DNA
lncrna:cr45959,long non-coding,LTR
slc22a,SLC22A family,DNA/MITE
polh,DNA polymerase,DNA/MITE
p5cs,Delta[1]-pyrroline-5-carboxylate,DNA/PIFHARBINGER
act79b,Actin,DNA
lncrna:cr45236,long non-coding,DNA/RC
olf413,,LINE/I
lncrna:cr45035,long non-coding,LTR
hem,,DNA
ilers,Isoleucyl-tRNA,LTR/Gypsy
ten-m,Tenascin,DNA/RC
lncrna:cr45963,long non-coding,DNA
lncrna:cr45962,long non-coding,DNA
lncrna:cr45964,long non-coding,DNA
lncrna:cr45237,long non-coding,LTR/Gypsy
lncrna:cr45966,long non-coding,DNA
cg11449,,DNA
laza,,DNA
cg11438,,DNA
cg11437,,DNA/RC
cg11426,,DNA/RC
lncrna:cr45430,long non-coding,LINE/I
lncrna:cr45431,long non-coding,LINE/I
cg43331,,DNA/RC
lncrna:cr45429,long non-coding,DNA/RC
nd-b14.5al,NADH dehydrogenase (ubiquinone) B14.5 A,DNA
lncrna:cr43270,long non-coding,LTR
mir-958,mir-958 stem,DNA
jhbp6,Juvenile hormone binding protein,DNA
lncrna:cr46227,long non-coding,LTR/Gypsy
cg11226,,DNA/RC
lncrna:cr45659,long non-coding,DNA/RC
trna:leu-cag-1-8,,DNA/RC
ssl1,Suppressor of stem-loop,LTR/Gypsy
asrna:cr45970,antisense,LTR/Gypsy
slif,,LTR/Gypsy
cg42233,,LTR
ir100a,Ionotropic receptor,LTR
acf,ATP-dependent chromatin assembly factor large,LTR
mccc1,Methylcrotonoyl-CoA carboxylase,LTR
faf,fat,LTR
cg2150,,DNA/P
lncrna:cr44263,long non-coding,DNA/P
cg2187,,DNA/P
salt,salty,DNA/P
cg1910,,DNA/P
nero,,DNA/P
awd,abnormal wing,DNA
cg1896,,DNA
tbca,Tubulin binding cofactor,DNA
eef1alpha2,eukaryotic translation elongation factor 1 alpha,DNA
cg11563,,DNA
pasha,partner of,LINE/I
mnat9,microtubule-associated,LINE/I
med,,LINE/I
cycg,Cyclin,LINE/I
gycbeta100b,Guanylyl cyclase beta-subunit at,DNA
stops,slow termination of,DNA
5-ht7,5-hydroxytryptamine (serotonin) receptor,DNA/RC
lncrna:cr46117,long non-coding,DNA/RC
cg31007,,DNA/RC
ctr1c,Copper transporter,DNA
cg15548,,DNA
lncrna:cr46220,long non-coding,LTR/COPIA
cyp4c3,Cytochrome P450,LTR/COPIA
cg12071,,LTR/Gypsy
cg15546,,LTR/Gypsy
cg15545,,LTR/Gypsy
cpr100a,Cuticular protein,LTR/Gypsy
zfh1,Zn finger homeodomain,DNA
lncrna:cr43238,long non-coding,DNA
npc2g,Niemann-Pick type,DNA
npc2h,Niemann-Pick type,DNA
cg15543,,DNA
eif4h2,eukaryotic translation initiation factor,DNA
cg31016,,DNA/MITE
ph4alphane3,prolyl-4-hydroxylase-alpha,DNA/MITE
cg31021,,DNA/MITE
cg2246,,DNA/MITE
cg31019,,DNA/MITE
jdp,,LINE/CR1
cg9698,,LINE/CR1
cg31524,,LINE/CR1
cg15539,,LTR/Gypsy
ph4alphasg1,prolyl-4-hydroxylase-alpha,LTR/Gypsy
cg31371,,DNA/RC
cdase,,LINE/CR1
cg2224,,LINE/CR1
aralar1,,DNA
osi23,Osiris,DNA
cg15537,,DNA
cg15534,,DNA
cg15536,,DNA/RC
mrps18c,mitochondrial ribosomal protein,DNA/RC
cg15535,,DNA/RC
cg2217,dicistronic,DNA/RC
cg42740,dicistronic,DNA/RC
ceca2,Cecropin,LINE/CR1
rps7,Ribosomal protein,LINE/CR1
snorna:psi28s-2626,,LINE/CR1
sas-6,Spindle assembly abnormal,DNA/RC
cg7903,,DNA/RC
acph-1,Acid phosphatase,DNA/RC
cg7896,,DNA/RC
tkr99d,Tachykinin-like receptor at,DNA/RC
cad99c,Cadherin,DNA
atg16,Autophagy-related,DNA
rnb,R and,DNA/MAVERICK
sro,,DNA/MAVERICK
cg5890,,DNA
tsp96f,Tetraspanin,DNA
sppl,Signal peptide,LINE
lnk,,LINE
cg14546,,DNA
lncrna:cr34024,long non-coding,DNA
exo84,Exocyst,DNA/MITE
vps2,Vacuolar protein sorting,DNA/MITE
cmpk,Cytidine/uridine monophosphate kinase,DNA/MITE
sld5,,DNA/MITE
cg14543,,DNA/MITE
pig-p,Phosphatidylinositol glycan anchor biosynthesis class,DNA/MITE
tcs6,Threonyl-carbamoyl synthesis,DNA/MITE
rpl34a,Ribosomal protein,DNA/MITE
cg31323,dicistronic,DNA
cg31086,,DNA
cg6073,,DNA
ald1,Aldolase,DNA
asrna:cr44321,antisense,DNA
cg6154,,DNA
osy,,DNA
lncrna:cr42765,long non-coding,DNA
ppk15,pickpocket,DNA
cg5455,,DNA
lncrna:cr46084,long non-coding,DNA/RC
tb,,DNA
amon,,DNA
cg14244,,DNA
cg14246,,DNA
cg14245,,DNA
lncrna:cr45562,long non-coding,DNA
lncrna:cr45563,long non-coding,DNA
lerp,lysosomal enzyme receptor,DNA
lncrna:cr46073,long non-coding,DNA
twdlt,,DNA/RC
glo,,DNA
cox5a,Cytochrome c oxidase subunit,DNA
kyat,Kynurenine,DNA
cg14731,,DNA
put,,DNA/RC
cg14853,,DNA/RC
stumps,,DNA/RC
cg7987,,LINE/I
asrna:cr44095,antisense,DNA/PIFHARBINGER
cys,,DNA/PIFHARBINGER
cg14854,,DNA/PIFHARBINGER
lncrna:cr46023,long non-coding,DNA
natalisin,,DNA
spds,Spermidine,DNA
asrna:cr45053,antisense,DNA
calr,,DNA
cg8319,,DNA
cg9427,,DNA
cg8312,,DNA
ap-1mu,Adaptor Protein complex 1%2C mu,DNA
cg8176,,LINE
kdm3,Lysine demethylase,LINE
mrpl47,mitochondrial ribosomal protein,LINE
rlb1,,LINE
cg31183,,LINE
cg9632,,LINE
cg14877,,DNA
fur1,Furin,DNA
alrm,astrocytic leucine-rich repeat,DNA
cg31437,,DNA
muc96d,Mucin,DNA
cg5111,,LTR
msi,,DNA
cg4582,,DNA
lncrna:cr45910,long non-coding,DNA
mir-1000,mir-1000 stem,DNA
ymp,,LINE
npl4,Nuclear protein localization,LINE
cg5079,,LINE
asrna:cr45195,antisense,LINE
sodh2,Sorbitol dehydrogenase,LINE
cg14695,,LINE
tpc1,Thiamine pyrophosphate carrier protein,LINE
cg14696,,LINE
leash,,LINE
ak3,Adenylate kinase,LINE
cg6621,,LINE
lncrna:cr45577,long non-coding,DNA
lncrna:cr45578,long non-coding,DNA
sdhcl,Succinate dehydrogenase%2C subunit,LINE/I
ugt35c1,UDP-glycosyltransferase family 35 member,LINE/I
cg18577,,DNA
cu,,DNA
sdhc,Succinate dehydrogenase%2C subunit,DNA
tctp,Translationally controlled tumor,DNA
lncrna:cr31386,,DNA/RC
lncrna:ts25,long noncoding RNA: testis-specific,DNA
lncrna:cr45055,long non-coding,DNA
lncrna:cr45581,long non-coding,DNA
csk,C-terminal Src,LINE/CR1
elp1,Elongator complex protein,LINE/CR1
cg11898,,DNA/RC
jus,julius,DNA/RC
usp1,Ubiquitin specific protease,DNA/RC
cg11951,,DNA/RC
cg31445,,DNA/RC
sp1029,,DNA
stg,,DNA
cg45544,,DNA
cg7567,,LINE/CR1
cg11470,,LINE/CR1
alph,,LINE/CR1
cg7568,,LINE/CR1
ppk20,pickpocket,DNA/RC
ppk30,pickpocket,DNA/RC
cg4743,,DNA
cg5039,,DNA
cg4730,,DNA
lgr3,Leucine-rich repeat-containing G protein-coupled receptor,DNA
lncrna:cr45225,long non-coding,DNA
rassf8,Ras association domain family member,DNA
asrna:cr45208,antisense,DNA/PIFHARBINGER
cal1,chromosome alignment defect,DNA/PIFHARBINGER
cher,,DNA/PIFHARBINGER
mur89f,Mucin related,DNA/RC
lncrna:cr44258,long non-coding,DNA/RC
brf,Brf RNA polymerase III,LTR/Gypsy
lute,,LTR/Gypsy
lncrna:cr43196,long non-coding,LTR/Gypsy
sds22,,LTR/Gypsy
asrna:cr44160,antisense,LTR/Gypsy
creg,Cellular Repressor of E1A-stimulated,LTR/Gypsy
sur-8,,LTR/Gypsy
pnt,,DNA/RC
pole1,DNA polymerase epsilon subunit,DNA/RC
atpsyncf6,ATP synthase%2C coupling factor,DNA/RC
cg10252,,DNA
prt,,DNA
cg10301,,DNA/RC
cg10300,,DNA/RC
nau,,DNA/RC
cg10365,,DNA
cg33111,,DNA/MAVERICK
eif4g2,eukaryotic translation initiation factor,DNA/MAVERICK
tfiia-s,,DNA/MAVERICK
sba,,DNA/MAVERICK
mfrn,,LINE/CR1
ras85d,Ras oncogene at,LINE/CR1
hmt-1,Heavy metal tolerance factor,LINE/CR1
cv-d,crossveinless,LINE/CR1
cg5614,,DNA/RC
ttc26,Tetratricopeptide repeat domain,DNA/RC
asrna:cr45206,antisense,DNA/RC
cg5623,,DNA/RC
pxb,,DNA/RC
lncrna:cr43849,long non-coding,DNA/RC
aox4,Aldehyde oxidase,LINE
aox3,Aldehyde oxidase,DNA/RC
adamts-a,ADAM metallopeptidase with thrombospondin type 1 motif,DNA/MAVERICK
atx2,,DNA/RC
cg6125,,DNA/RC
asrna:cr46058,antisense,DNA/RC
rbp,RIM-binding,DNA/RC
nagk,N-acetylglucosamine,DNA/RC
cyfip,Cytoplasmic FMR1 interacting,DNA/RC
fkbp39,FK506-binding protein,DNA/RC
mrpl9,mitochondrial ribosomal protein,DNA/RC
ea,,DNA/RC
cg6236,,DNA/RC
ear,,DNA/RC
cg13623,,DNA/RC
cg6607,,DNA/RC
lncrna:cr45649,long non-coding,DNA/RC
nachralpha1,nicotinic Acetylcholine Receptor,DNA/P
lncrna:cr43455,long non-coding,DNA/RC
lncrna:cr45950,long non-coding,DNA/RC
cg42812,,DNA
cg42811,,DNA
cg17784,,DNA
cg33340,,DNA
cg18528,,DNA
golgin84,,DNA
cg6454,,DNA
cg5746,,DNA
crb,,DNA
cg5715,,LINE/I
uck,Uridine-cytidine,LINE/I
cg34290,,LINE/I
cg6356,,LINE/I
krt95d,Krueppel target at,LTR
mlc1,Myosin alkali light chain,DNA/RC
tau,,DNA/RC
rps10a,Ribosomal protein,DNA/RC
cg5639,,LTR
pins,partner of,LTR
wdb,,LTR
cg5646,,LTR
klp98a,Kinesin-like protein at,LTR
lncrna:cr46086,long non-coding,DNA/RC
gr98a,Gustatory receptor,DNA/RC
cyp6a18,Cytochrome P450,DNA/RC
cg13978,,DNA
asrna:cr43476,antisense,DNA
cg46335,,DNA
cg3330,,DNA
cg3339,,DNA
asrna:cr44287,antisense,DNA
asta-r2,Allatostatin A receptor,DNA
htt,,DNA
snu,,LTR/Gypsy
sid,Stress induced,LTR/Gypsy
cg14062,,DNA/MITE
beat-vi,beaten path,DNA/PIFHARBINGER
moca-cyp,,DNA
asrna:cr45041,antisense,DNA
lncrna:cr46078,long non-coding,DNA/P
lncrna:cr46076,long non-coding,DNA/P
lncrna:cr46077,long non-coding,DNA/P
betatub97ef,beta-Tubulin at,DNA
cg4849,,DNA
cg42487,dicistronic,DNA
cg4884,dicistronic,DNA
cg6006,,DNA
asrna:cr43472,antisense,DNA/RC
lncrna:cr45103,long non-coding,LTR/Gypsy
cg7218,,LTR/Gypsy
cbp20,cap binding protein,LTR/Gypsy
cg7215,dicistronic,DNA/RC
prx5,Peroxiredoxin,DNA/RC
cg18599,,DNA/MAVERICK
vps39,Vacuolar protein sorting,DNA/MAVERICK
eif1a,eukaryotic translation initiation factor,DNA/MAVERICK
cg7142,,DNA/MAVERICK
gl,,DNA
lncrna:cr14310,long non-coding,DNA
lncrna:cr44946,long non-coding,DNA
cg7675,,DNA
cg14309,,DNA
vha100-4,Vacuolar H[+] ATPase 100kD subunit,DNA
vha100-2,Vacuolar H[+] ATPase 100kD subunit,DNA
vti1b,Vesicle transport through interaction with t-SNAREs,DNA
wdr37,WD repeat domain,DNA
koko,,DNA
cg7685,,DNA
cg31122,,DNA
lncrna:cr44231,long non-coding,DNA
ugt37a2,UDP-glycosyltransferase family 37 member,DNA
ugt37a3,UDP-glycosyltransferase family 37 member,DNA
lncrna:cr46238,long non-coding,DNA/RC
beat-vc,beaten path,DNA/RC
cg31345,,DNA/RC
asrna:cr44235,antisense,DNA
d-cup,,DNA
sim,,LTR/Gypsy
lncrna:cr44967,long non-coding,LTR/Gypsy
pxd,,DNA/RC
adsl,Adenylosuccinate,DNA/RC
ubx,,LTR
modsp,modular serine,LTR
cad89d,Cadherin,DNA
der-2,,DNA
sdhaf3,Succinate dehydrogenase assembly factor,DNA
dhfr,Dihydrofolate,DNA
gyc89db,Guanylyl cyclase at,DNA
asrna:cr46029,antisense,DNA
gyc89da,Guanylyl cyclase at,DNA
csn5,COP9 signalosome subunit,DNA
cg42232,,DNA
fntb,Farnesyl transferase beta,DNA/RC
cg31279,,DNA/RC
trna:thr-agt-1-4,,DNA/RC
lncrna:cr45631,long non-coding,DNA/RC
trna:thr-agt-1-3,,DNA/RC
mfas,midline,DNA/RC
tk,,DNA/RC
ect3,Ectoderm-expressed,DNA/RC
atp8b,ATPase,DNA
dpr17,defective proboscis extension response,DNA
trna:thr-tgt-2-5,,DNA/PIFHARBINGER
cg10013,,DNA/PIFHARBINGER
lncrna:cr45584,long non-coding,DNA/PIFHARBINGER
cg31223,,LINE
adss,Adenylosuccinate,LINE
asrna:cr44047,antisense,LINE
cg8507,,LINE
cg8516,,LINE
asrna:cr46144,antisense,LINE
cg9467,,LINE
cg8526,,LINE/L2
fbxo11,F-box protein,LINE/L2
asrna:cr44035,antisense,LINE/L2
cg16904,,LINE/L2
cg9458,,LINE/L2
lncrna:cr45790,long non-coding,DNA
lncrna:cr42858,long non-coding,DNA
glut4ef,Glucose transporter 4 enhancer,DNA/RC
cg46467,dicistronic,DNA/RC
lncrna:cr45029,long non-coding,DNA/RC
mical,Molecule interacting with,DNA
cg31407,,DNA
cg3909,,DNA
cg11722,,DNA
mttfb2,mitochondrial transcription factor,DNA
cg12811,,DNA
ohgt,,DNA
fancl,,DNA
asrna:cr45205,antisense,DNA/MAVERICK
npc2c,Niemann-Pick type,DNA/MAVERICK
cg33630,,DNA/MAVERICK
nerfin-2,nervous fingers,DNA/MAVERICK
alp13,Alkaline phosphatase,DNA/MAVERICK
cah7,Carbonic anhydrase,DNA/P
gammasnap2,gamma Soluble NSF attachment protein,DNA/P
knk,,DNA/P
asrna:cr46038,antisense,DNA/P
tws,,DNA/P
jvl,,LINE/CR1
cg14855,,DNA
cg14856,,DNA
cg14857,,DNA
btsz,,DNA
dph2,Diphthamide biosynthesis,DNA
cg14860,,DNA
nup93-2,Nucleoporin,DNA
cg3817,,DNA
vhappa1-2,Vacuolar H[+] ATPase PPA1 subunit,DNA
rps5b,Ribosomal protein,DNA
vhappa1-1,Vacuolar H[+] ATPase PPA1 subunit,DNA
lncrna:cr46199,long non-coding,DNA
sdr,Secreted decoy of,DNA
lncrna:cr45599,long non-coding,LTR/COPIA
cftr,CF transmembrane conductance,DNA
esyt2,Extended synaptotagmin-like protein,DNA
lncrna:cr46095,long non-coding,LTR/COPIA
slo,,DNA
cg13627,dicistronic,DNA/MAVERICK
cg46316,dicistronic,DNA/MAVERICK
polr2l,RNA polymerase II%2C I and III subunit,DNA/MAVERICK
cg13630,,DNA/MAVERICK
cg5805,,DNA
ets96b,,DNA
cg13634,,DNA
ude,Uracil-DNA degrading,DNA
polybromo,,DNA
lili,,DNA/MAVERICK
cg4467,,DNA
cnc,,DNA
irk1,Inwardly rectifying potassium channel,DNA/RC
cg46310,dicistronic,DNA/RC
cow,Carrier of,DNA/P
cg17109,,DNA/P
cg17110,dicistronic,DNA/P
cg6726,dicistronic,DNA/P
lmd,lame,DNA/RC
cg6688,,DNA/RC
gbp3,Growth-blocking peptide,DNA
tpl94d,Transition protein-like,DNA
lncrna:cr43655,long non-coding,DNA
klg,,LINE/I
lncrna:cr46088,long non-coding,DNA
cg6660,,DNA
lncrna:cr44350,long non-coding,LINE/I
cg13840,,LTR/Gypsy
loco,locomotion,DNA/RC
asrna:cr43474,antisense,DNA/RC
lncrna:cr43475,long non-coding,DNA/RC
mrpl45,mitochondrial ribosomal protein,DNA/RC
cg31161,,DNA/RC
mrrf2,mitochondrial ribosome recycling factor,DNA/RC
cah8,Carbonic anhydrase,DNA
gpdh3,Glycerol-3-phosphate dehydrogenase,DNA
cg43342,,DNA
cg34149,,DNA
cg18596,,DNA
cg7069,,DNA
pyk,Pyruvate,DNA
sar1,Secretion-associated Ras-related,DNA
rdhb,retinol dehydrogenase,DNA
cg5386,,DNA
cg34377,,DNA
asrna:cr46261,antisense,DNA
cg7084,,DNA
mir-1010,mir-1010 stem,LINE/CR1
cg42390,,DNA/RC
cg13407,,DNA
bombc3,Bomanin Bicipital,DNA/RC
bomt3,Bomanin Tailed,DNA/RC
how,held out,LTR
fadd,Fas-associated death,DNA/RC
cg45099,dicistronic,DNA/RC
cg6015,dicistronic,DNA/RC
cg13409,,DNA/RC
nd-42,NADH dehydrogenase (ubiquinone) 42 kDa,DNA/RC
cchl,Cytochrome c heme,DNA/RC
cg6028,,DNA/RC
mrpl35,mitochondrial ribosomal protein,DNA/RC
mitofilin,,DNA/RC
idh3b,Isocitrate dehydrogenase,DNA/RC
eip93f,Ecdysone-induced protein,DNA
cg6678,,DNA
lsn,,DNA
lncrna:cr45645,long non-coding,DNA
lncrna:cr45644,long non-coding,DNA
glec,,DNA
cask,,DNA/RC
mir-4969,mir-4969 stem,DNA
mir-999,mir-999 stem,DNA
lncrna:crg,CASK regulatory,DNA
trna:arg-acg-1-6,,DNA
trna:arg-acg-1-7,,DNA
trna:arg-acg-1-8,,DNA
trna:arg-acg-1-9,,DNA
trna:arg-acg-1-10,,DNA
grn,,DNA/RC
lncrna:cr45550,long non-coding,DNA
stck,steamer,DNA/RC
veneno,,DNA/RC
or85b,Odorant receptor,DNA
or85c,Odorant receptor,DNA
or85e,Odorant receptor,DNA
trna:tyr-gta-1-5,,DNA
trna:tyr-gta-1-4,,DNA
cyp313b1,Cytochrome P450,DNA
mkk4,MAP kinase kinase,DNA
dhod,Dihydroorotate,DNA
sys1,Sys1 golgi trafficking,DNA
cg42489,,DNA
bel,,DNA
pif1b,PFTAIRE-interacting factor,DNA
pif1a,PFTAIRE-interacting factor,DNA
cct7,Chaperonin containing TCP1 subunit,DNA
cg9839,,DNA
hng2,,DNA
cg9837,,DNA
aqz,,DNA
trna:arg-tcg-2-2,,DNA
asrna:cr44020,antisense,DNA/RC
osk,,DNA/RC
lncrna:osk,,DNA/RC
scsbetaa,Succinyl-coenzyme A synthetase beta subunit%2C,DNA/RC
ich,,LINE/L2
beag,,DNA
ada,Adenosine,DNA
pum,,DNA
lncrna:cr45196,long non-coding,DNA/MAVERICK
d1,D1 chromosomal,DNA/MAVERICK
sage,salivary gland-expressed,DNA
trprs,Tryptophanyl-tRNA,DNA
sll,,DNA/RC
cg14329,,DNA/RC
edg91,Ecdysone-dependent gene,DNA/RC
cg34281,,DNA/RC
cg14327,,DNA/RC
cg14324,,DNA
trna:ala-agc-2-2,,DNA
trna:pro-tgg-1-2,,DNA
trna:ala-agc-2-3,,DNA
cg14323,,DNA
trna:ala-agc-2-4,,DNA
trna:thr-agt-1-5,,DNA
trna:thr-agt-1-6,,DNA
attd,,DNA
trna:ala-agc-1-1,,DNA
trna:ala-agc-2-9,,DNA
trna:ala-agc-2-10,,DNA/RC
cg7523,,DNA/RC
mps1,Monopolar spindle,DNA/RC
alt,aluminum,DNA/RC
trna:ser-gct-2-1,,DNA
bruce,BIR repeat containing ubiquitin-conjugating,DNA/PIFHARBINGER
hth,,DNA/PIFHARBINGER
asrna:cr44018,antisense,LINE/I
cg31467,,DNA
cg31278,,DNA
cg31373,,DNA
cg14689,,DNA
cad86c,Cadherin,DNA/MITE
cg42394,,DNA/MITE
cg4565,,DNA/MITE
cg6567,,DNA/MITE
keap1,,DNA/MITE
pk2-r1,Pyrokinin 2 receptor,DNA
gfrl,Glial cell line-derived neurotrophic family,DNA
gluriie,Glutamate receptor,DNA/RC
gluriid,Glutamate receptor,DNA/RC
nep4,Neprilysin,DNA/RC
cpr92f,Cuticular protein,DNA
cg4000,,DNA
asrna:cr45024,antisense,DNA
lncrna:cr43452,long non-coding,DNA
oamb,Octopamine receptor in mushroom,DNA
fancd2,,DNA
cg17270,,DNA
cg17271,,DNA
rps20,Ribosomal protein,DNA
snorna:psi18s-1295,,DNA
cg17272,,DNA
cg12945,,DNA
cg8500,,DNA
mtna,Metallothionein,LINE
cg12947,,LINE
cg12948,,LTR
cg34409,,LTR
cg31415,,LTR
pnn,,LTR
side-vii,sidestep,LTR
alphatub85e,alpha-Tubulin at,LTR
foxp,Forkhead box,LTR
red,red Malpighian,DNA/MITE
trx,,DNA/MITE
cg14839,,DNA/RC
cg14841,,DNA/RC
cg14840,,DNA/RC
cg9649,,DNA/RC
cg14355,,DNA
recs1,,DNA
pk1-r,Pyrokinin 1,DNA
lncrna:cr46531,long non-coding,DNA
cg9920,,DNA
ccha1,,DNA
npc2b,Niemann-Pick type,DNA
foxo,forkhead box%2C sub-group,DNA
trna:ser-gct-2-2,,DNA/RC
orc2,Origin recognition complex subunit,LINE/I
kots,,LINE/I
ipp,Inositol polyphosphate,LINE/I
nsf2,N-ethylmaleimide-sensitive factor,DNA/PIFHARBINGER
trna:phe-gaa-1-6,,LTR
trna:phe-gaa-1-7,,LTR
cht5,Chitinase,DNA/RC
cg9312,,DNA/RC
flfl,,DNA
omd,oocyte maintenance,DNA
lkb1,Lkb1,DNA
cg9588,,DNA
task6,TWIK-related acid-sensitive K[+] channel,DNA/RC
b52,,DNA/RC
sqd,,DNA
cg10841,,DNA
lncrna:cr45594,long non-coding,DNA
lncrna:cr45680,long non-coding,DNA
cg9269,,DNA
cg9757,,DNA/RC
cg9759,,DNA/RC
cg14369,,DNA
cg14370,,DNA
lncrna:cr43848,long non-coding,DNA
lncrna:cr45589,long non-coding,DNA
lncrna:cr45914,long non-coding,DNA
asrna:cr46354,antisense,DNA
mir-252,mir-252 stem,DNA
side-iv,sidestep,DNA
asrna:cr17025,antisense,DNA
lncrna:cr45679,long non-coding,DNA
lncrna:cr42756,long non-coding,DNA
yrt,,DNA
act87e,Actin,DNA/P
ir87a,Ionotropic receptor,LTR
yellow-e,,DNA/RC
yellow-e3,,DNA
dpm3,Dolichyl-phosphate mannosyltransferase subunit,DNA
gilt1,Gamma-interferon-inducible lysosomal thiol reductase,DNA
ccha2,,DNA
cg17199,,DNA
lncrna:cr42836,long non-coding,DNA
mdlc,midlife,DNA
cg4390,,DNA
cg31213,,DNA
cg4783,,DNA
mira,,DNA/RC
ask1,Apoptotic signal-regulating kinase,LINE
arc42,Activator-recruited cofactor subunit,LINE
mrp5,Multidrug resistance protein,LINE
cg4686,,LINE
ire1,Inositol-requiring,DNA/RC
micu3,Mitochondrial calcium uptake,DNA/RC
cg31459,,DNA/RC
bnl,,DNA/RC
trna:thr-agt-1-7,,DNA
trna:ala-agc-2-11,,LINE/CR1
trna:val-cac-1-1,,LINE/CR1
trna:val-cac-2-2,,LINE/CR1
trna:val-cac-2-1,,LINE/CR1
trna:val-cac-2-6,,LINE/CR1
acsx4,Acyl-CoA synthetase,LINE/CR1
acsx3,Acyl-CoA synthetase,LINE/CR1
acsx2,Acyl-CoA synthetase,DNA/P
acsx1r,Acyl-CoA synthetase X1,DNA/P
cg6231,,LTR
cg16727,,LTR
cg17752,,LTR
cg17751,,LTR
cg7342,,LTR
cg7333,,DNA/RC
cpr92a,Cuticular protein,DNA/RC
cg15025,,DNA
scsalpha2,Succinyl-coenzyme A synthetase alpha subunit,DNA
cg3517,,DNA/MAVERICK
ino80,INO80 complex,LINE/I
cg31244,,LINE/I
cg3739,,LINE/I
cg18493,,LINE/I
cg3734,,LINE/I
cg31404,,LTR/Gypsy
cg3581,,LTR/Gypsy
cg14280,,DNA
vib,,DNA
cry,,DNA
lncrna:cr46393,,DNA
cg5555,,DNA
cg14282,,DNA
sqz,,DNA/RC
